Date,US
8/29/21,38891187
8/30/21,39151147
8/31/21,39321999
9/1/21,39523951
9/2/21,39699776
9/3/21,39934624
9/4/21,39999068
9/5/21,40039356
9/6/21,40114538
9/7/21,40391566
9/8/21,40573789
9/9/21,40733593
9/10/21,40961390
9/11/21,41025645
9/12/21,41061504
9/13/21,41322259
9/14/21,41467287
9/15/21,41638554
9/16/21,41793484
9/17/21,42001556
9/18/21,42058315
9/19/21,42094648
9/20/21,42296425
9/21/21,42417661
9/22/21,42550081
9/23/21,42675919
9/24/21,42853371
9/25/21,42900903
9/26/21,42931861
9/27/21,43116877
9/28/21,43226482
9/29/21,43349749
9/30/21,43460343
10/1/21,43618627
10/2/21,43657833
